entity,coupled,degree,average-revs
hibernate-core/src/main/java/org/hibernate/engine/spi/SessionFactoryImplementor.java,hibernate-core/src/main/java/org/hibernate/internal/SessionFactoryImpl.java,36,19
hibernate-core/src/main/java/org/hibernate/dialect/Dialect.java,hibernate-core/src/main/java/org/hibernate/dialect/Oracle8iDialect.java,35,23
hibernate-core/src/main/java/org/hibernate/dialect/unique/DefaultUniqueDelegate.java,hibernate-core/src/main/java/org/hibernate/mapping/Table.java,35,17
hibernate-core/src/main/java/org/hibernate/cfg/AnnotationBinder.java,hibernate-core/src/main/java/org/hibernate/cfg/annotations/EntityBinder.java,35,17
hibernate-c3p0/hibernate-c3p0.gradle,hibernate-core/hibernate-core.gradle,35,14
hibernate-core/src/main/java/org/hibernate/cfg/AnnotationBinder.java,hibernate-core/src/main/java/org/hibernate/cfg/annotations/CollectionBinder.java,34,21
hibernate-core/src/main/java/org/hibernate/cfg/HbmBinder.java,hibernate-core/src/main/java/org/hibernate/cfg/annotations/EntityBinder.java,34,15
hibernate-core/src/main/java/org/hibernate/cfg/HbmBinder.java,hibernate-core/src/main/java/org/hibernate/cfg/annotations/CollectionBinder.java,33,18
hibernate-core/src/main/java/org/hibernate/event/internal/DefaultResolveNaturalIdEventListener.java,hibernate-core/src/main/java/org/hibernate/persister/entity/AbstractEntityPersister.java,32,22
hibernate-core/src/main/java/org/hibernate/mapping/Table.java,hibernate-core/src/main/java/org/hibernate/mapping/UniqueKey.java,32,16
hibernate-core/src/main/java/org/hibernate/engine/internal/StatefulPersistenceContext.java,hibernate-core/src/main/java/org/hibernate/engine/spi/EntityEntry.java,31,19
hibernate-core/src/main/java/org/hibernate/dialect/unique/UniqueDelegate.java,hibernate-core/src/main/java/org/hibernate/mapping/Table.java,31,16
hibernate-core/src/main/java/org/hibernate/cfg/Configuration.java,hibernate-core/src/main/java/org/hibernate/mapping/Table.java,30,30
hibernate-core/src/main/java/org/hibernate/persister/entity/AbstractEntityPersister.java,hibernate-entitymanager/src/test/java/org/hibernate/ejb/test/ejb3configuration/PersisterClassProviderTest.java,30,20
hibernate-core/src/main/java/org/hibernate/Session.java,hibernate-core/src/main/java/org/hibernate/internal/SessionImpl.java,30,20
hibernate-core/hibernate-core.gradle,hibernate-osgi/hibernate-osgi.gradle,30,17
