entity,soc
hibernate-core/src/main/java/org/hibernate/engine/loading/internal/CollectionLoadContext.java,68
hibernate-core/src/main/resources/org/hibernate/hibernate-mapping-4.0.xsd,67
hibernate-core/src/main/antlr/hql.g,66
hibernate-c3p0/hibernate-c3p0.gradle,65
hibernate-envers/src/main/java/org/hibernate/envers/query/impl/EntitiesAtRevisionQuery.java,64
hibernate-entitymanager/src/main/java/org/hibernate/jpa/internal/schemagen/JpaSchemaGenerator.java,64
hibernate-entitymanager/src/main/java/org/hibernate/jpa/graph/internal/advisor/AdviceHelper.java,64
hibernate-core/src/main/java/org/hibernate/loader/plan/spi/build/AbstractLoadPlanBuilderStrategy.java,64
hibernate-core/src/main/java/org/hibernate/hql/internal/ast/HqlSqlWalker.java,63
hibernate-core/src/main/java/org/hibernate/engine/query/spi/NativeSQLQueryPlan.java,63
hibernate-osgi/src/main/java/org/hibernate/osgi/OsgiSessionFactoryService.java,62
hibernate-core/src/main/java/org/hibernate/procedure/ProcedureCall.java,62
hibernate-core/src/main/java/org/hibernate/internal/AbstractQueryImpl.java,62
hibernate-core/src/main/java/org/hibernate/action/internal/UnresolvedEntityInsertActions.java,62
hibernate-proxool/hibernate-proxool.gradle,61
hibernate-envers/src/test/java/org/hibernate/envers/test/integration/proxy/RemovedObjectQueryTest.java,61
hibernate-ehcache/hibernate-ehcache.gradle,61
hibernate-core/src/main/java/org/hibernate/type/EnumType.java,61
hibernate-core/src/main/java/org/hibernate/persister/walking/spi/MetadataDrivenModelGraphVisitor.java,61
hibernate-core/src/main/java/org/hibernate/engine/internal/Cascade.java,59
hibernate-testing/hibernate-testing.gradle,58
hibernate-core/src/main/java/org/hibernate/loader/plan/spi/EntityReturn.java,58
hibernate-core/src/main/java/org/hibernate/internal/util/collections/ArrayHelper.java,58
hibernate-core/src/main/java/org/hibernate/collection/internal/PersistentListElementHolder.java,58
hibernate-core/src/main/java/org/hibernate/internal/util/StringHelper.java,57
hibernate-core/src/main/java/org/hibernate/NaturalIdLoadAccess.java,57
hibernate-core/src/main/java/org/hibernate/mapping/OneToMany.java,56
hibernate-core/src/main/java/org/hibernate/loader/plan/spi/EntityFetch.java,56
hibernate-core/src/main/java/org/hibernate/event/internal/AbstractFlushingEventListener.java,56
hibernate-core/src/main/java/org/hibernate/engine/jdbc/internal/JdbcServicesImpl.java,56
hibernate-core/src/main/java/org/hibernate/procedure/internal/ProcedureCallMementoImpl.java,55
hibernate-core/src/main/java/org/hibernate/internal/util/config/ConfigurationHelper.java,55
hibernate-core/src/main/java/org/hibernate/hql/internal/ast/SqlGenerator.java,55
hibernate-core/src/main/java/org/hibernate/dialect/unique/DefaultUniqueDelegate.java,55
hibernate-core/src/main/java/org/hibernate/collection/internal/PersistentList.java,55
hibernate-core/src/main/java/org/hibernate/collection/internal/PersistentArrayHolder.java,55
hibernate-core/src/main/java/org/hibernate/cfg/annotations/reflection/JPAOverriddenAnnotationReader.java,55
hibernate-core/src/main/java/org/hibernate/cache/internal/NoCachingRegionFactory.java,55
documentation/src/main/docbook/manual/en-US/content/configuration.xml,55
hibernate-envers/src/main/java/org/hibernate/envers/query/impl/AbstractAuditQuery.java,54
hibernate-core/src/matrix/java/org/hibernate/test/jpa/naturalid/ImmutableNaturalIdTest.java,54
hibernate-core/src/main/java/org/hibernate/loader/entity/DynamicBatchingEntityLoaderBuilder.java,54
hibernate-core/src/main/java/org/hibernate/loader/collection/DynamicBatchingCollectionInitializerBuilder.java,54
hibernate-core/src/main/java/org/hibernate/LockOptions.java,54
hibernate-envers/src/main/java/org/hibernate/envers/internal/entities/mapper/relation/query/TwoEntityQueryGenerator.java,53
hibernate-envers/src/main/java/org/hibernate/envers/internal/entities/mapper/relation/query/ThreeEntityQueryGenerator.java,53
hibernate-envers/src/main/java/org/hibernate/envers/internal/entities/mapper/relation/query/OneAuditEntityQueryGenerator.java,53
hibernate-entitymanager/src/main/java/org/hibernate/jpa/SchemaGenAction.java,53
hibernate-core/src/main/java/org/hibernate/service/ServiceRegistryBuilder.java,53
hibernate-core/src/main/java/org/hibernate/procedure/internal/ParameterStrategy.java,53
hibernate-core/src/main/java/org/hibernate/procedure/internal/ParameterRegistrationImplementor.java,53
hibernate-core/src/main/java/org/hibernate/persister/entity/SingleTableEntityPersister.java,53
hibernate-core/src/main/java/org/hibernate/mapping/Filterable.java,53
hibernate-core/src/main/java/org/hibernate/hql/internal/ast/tree/FromElement.java,53
hibernate-core/src/main/java/org/hibernate/engine/jdbc/ColumnNameCache.java,53
documentation/src/main/docbook/devguide/en-US/appendices/legacy_criteria/Legacy_Criteria.xml,53
release/release.gradle,52
hibernate-core/src/main/java/org/hibernate/FlushMode.java,52
hibernate-core/src/main/java/org/hibernate/CacheMode.java,52
hibernate-testing/src/main/java/org/hibernate/testing/junit4/BaseCoreFunctionalTestCase.java,51
hibernate-core/src/matrix/java/org/hibernate/test/hql/ASTParserLoadingTest.java,51
hibernate-core/src/main/java/org/hibernate/type/EntityType.java,51
hibernate-core/src/main/java/org/hibernate/loader/criteria/CriteriaLoader.java,51
hibernate-core/src/main/java/org/hibernate/engine/jdbc/spi/JdbcCoordinator.java,51
hibernate-infinispan/src/main/java/org/hibernate/cache/infinispan/access/TransactionalAccessDelegate.java,50
hibernate-envers/src/test/java/org/hibernate/envers/test/integration/query/AggregateQuery.java,50
hibernate-envers/src/main/java/org/hibernate/envers/strategy/ValidityAuditStrategy.java,50
hibernate-core/src/test/java/org/hibernate/test/transaction/jta/ManagedDrivingTest.java,50
hibernate-core/src/main/java/org/hibernate/criterion/NaturalIdentifier.java,50
hibernate-core/src/main/java/org/hibernate/action/internal/AbstractEntityInsertAction.java,50
hibernate-core/src/test/java/org/hibernate/sql/TemplateTest.java,49
hibernate-core/src/matrix/java/org/hibernate/test/legacy/LegacyTestCase.java,49
hibernate-core/src/main/java/org/hibernate/procedure/package-info.java,49
hibernate-core/src/main/java/org/hibernate/procedure/internal/ProcedureResultImpl.java,49
hibernate-core/src/main/java/org/hibernate/cfg/annotations/NamedProcedureCallDefinition.java,49
hibernate-core/src/test/java/org/hibernate/test/bytecode/enhancement/EnhancerTest.java,48
hibernate-core/src/main/java/org/hibernate/tool/enhance/EnhancementTask.java,48
hibernate-core/src/main/java/org/hibernate/cfg/annotations/PropertyBinder.java,48
hibernate-core/src/main/java/org/hibernate/bytecode/enhance/spi/Enhancer.java,48
hibernate-core/src/main/antlr/hql-sql.g,48
hibernate-entitymanager/src/test/java/org/hibernate/ejb/test/boot/NewBootProcessTest.java,47
hibernate-core/src/test/java/org/hibernate/test/annotations/onetomany/OrderByTest.java,47
hibernate-core/src/test/java/org/hibernate/dialect/resolver/DialectFactoryTest.java,47
hibernate-core/src/matrix/java/org/hibernate/test/annotations/query/QueryAndSQLTest.java,47
hibernate-core/src/main/java/org/hibernate/event/internal/DefaultMergeEventListener.java,47
hibernate-core/src/main/java/org/hibernate/event/internal/DefaultLoadEventListener.java,47
hibernate-core/src/main/java/org/hibernate/engine/internal/EntityEntryContext.java,47
hibernate-core/src/main/java/org/hibernate/boot/registry/classloading/internal/ClassLoaderServiceImpl.java,47
hibernate-core/src/main/java/org/hibernate/action/internal/BulkOperationCleanupAction.java,47
documentation/src/main/docbook/devguide/en-US/appendix-Configuration_Properties.xml,47
